hip_id,ra,dec,mag
8044,25.818630,45.322647,6.33
8046,25.832266,60.551331,5.78
8068,25.915125,50.688732,4.01
8086,25.958939,32.192017,6.32
8094,25.978321,-4.765514,6.20
8102,26.017185,-15.937480,3.49
8115,26.074755,57.536617,6.18
8127,26.110531,46.139690,6.32
8143,26.181990,-6.766164,6.45
8148,26.192339,57.089226,6.25
8159,26.232616,20.083149,6.27
8198,26.348461,9.157736,4.26
8209,26.411446,-25.052610,5.29
8230,26.496916,-5.733299,5.37
8233,26.504385,-27.348831,6.38
8240,26.524799,-50.816257,5.49
8241,26.525879,-53.522038,5.04
8320,26.819580,-41.759926,6.18
8362,26.935020,63.852501,5.63
8366,26.944365,-80.176308,6.05
8369,26.949030,-37.159485,6.33
8370,26.950050,46.229752,6.33
8387,27.045570,16.955551,5.86
8404,27.108406,3.685447,5.91
8423,27.162119,37.952869,5.94
8433,27.173250,32.690208,5.78
8475,27.314791,47.896923,6.01
8480,27.330885,-31.072462,6.35
8497,27.396271,-10.686410,4.66
8514,27.453600,-38.402798,6.37
8544,27.535709,22.275337,5.83
8552,27.583950,-47.816391,6.14
8588,27.716549,11.043378,5.92
8593,27.726885,-50.206139,5.94
8598,27.737970,51.933418,5.96
8641,27.859816,-39.835934,6.44
8645,27.865141,-10.335038,3.74
8664,27.907499,-6.874143,6.42
8688,27.942076,-15.647480,6.44
8704,27.997141,55.147385,5.53
8714,28.039019,50.792793,5.70
8771,28.211370,51.474834,6.28
8778,28.217131,-16.929251,5.78
8796,28.270439,29.578829,3.42
8814,28.322281,40.729790,5.42
8820,28.346458,-38.594631,6.09
8832,28.382549,19.293852,3.88
8833,28.388954,3.187536,4.61
8837,28.411530,-46.302670,4.39
8847,28.452045,55.597637,6.44
8882,28.591829,-42.496948,5.12
8886,28.598761,63.670101,3.35
8903,28.660021,20.808035,2.64
8922,28.724070,40.702034,6.25
8928,28.733582,-67.647301,4.68
8930,28.740225,37.128288,6.28
8957,28.831949,-60.312485,6.43
8983,28.943640,-60.860973,6.07
8991,28.959631,-78.348549,6.15
8993,28.962660,23.577322,5.76
8998,28.974300,1.849982,6.01
9001,28.976999,37.277786,5.89
